City,State,% Growth (2000 - 2013),Population,Latitude,Longitude
Chicago,Illinois,-6.1,"2,718,782.00",41.8781136,-87.6297982
Indianapolis,Indiana,7.8,"843,393.00",39.768403,-86.158068
Columbus,Ohio,14.8,"822,553.00",39.9611755,-82.9987942
Detroit,Michigan,-27.1,"688,701.00",42.331427,-83.0457538
Milwaukee,Wisconsin,0.3,"599,164.00",43.0389025,-87.9064736
Kansas City,Missouri,5.5,"467,007.00",39.0997265,-94.5785667
Omaha,Nebraska,5.9,"434,353.00",41.2523634,-95.9979883
Minneapolis,Minnesota,4.5,"400,070.00",44.977753,-93.2650108
Cleveland,Ohio,-18.1,"390,113.00",41.49932,-81.6943605
Wichita,Kansas,9.7,"386,552.00",37.688889,-97.336111
St. Louis,Missouri,-8.2,"318,416.00",38.6270025,-90.1994042
Cincinnati,Ohio,-10.1,"297,517.00",39.1031182,-84.5120196
St. Paul,Minnesota,2.8,"294,873.00",44.9537029,-93.0899578
Toledo,Ohio,-10,"282,313.00",41.6639383,-83.555212
Lincoln,Nebraska,18,"268,738.00",40.8257625,-96.6851982
Fort Wayne,Indiana,1,"256,496.00",41.079273,-85.1393513
Madison,Wisconsin,15.8,"243,344.00",43.0730517,-89.4012302
Des Moines,Iowa,3.9,"207,510.00",41.6005448,-93.6091064
Aurora,Illinois,38.4,"199,963.00",41.7605849,-88.3200715
Akron,Ohio,-8.6,"198,100.00",41.0814447,-81.5190053
Grand Rapids,Michigan,-2.8,"192,294.00",42.9633599,-85.6680863
Overland Park,Kansas,19.4,"181,260.00",38.9822282,-94.6707917
Springfield,Missouri,7.8,"164,122.00",37.2089572,-93.2922989
Rockford,Illinois,-1,"150,251.00",42.2711311,-89.0939952
Kansas City,Kansas,1.1,"148,483.00",39.114053,-94.6274636
Joliet,Illinois,36.5,"147,806.00",41.525031,-88.0817251
Naperville,Illinois,12,"144,864.00",41.7508391,-88.1535352
Dayton,Ohio,-13.5,"143,355.00",39.7589478,-84.1916069
Warren,Michigan,-2.3,"134,873.00",42.5144566,-83.0146526
Olathe,Kansas,40.4,"131,885.00",38.8813958,-94.8191285
Sterling Heights,Michigan,5.2,"131,224.00",42.5803122,-83.0302033
Cedar Rapids,Iowa,5.4,"128,429.00",41.9778795,-91.6656232
Topeka,Kansas,3.4,"127,679.00",39.0558235,-95.6890185
Evansville,Indiana,-0.8,"120,310.00",37.9715592,-87.5710898
Independence,Missouri,3.2,"117,240.00",39.0911161,-94.4155068
Ann Arbor,Michigan,2,"117,025.00",42.2808256,-83.7430378
Springfield,Illinois,4.2,"117,006.00",39.7817213,-89.6501481
Peoria,Illinois,3,"116,513.00",40.6936488,-89.5889864
Columbia,Missouri,34,"115,276.00",38.9517053,-92.3340724
Lansing,Michigan,-4.4,"113,972.00",42.732535,-84.5555347
Fargo,North Dakota,24.9,"113,658.00",46.8771863,-96.7898034
Rochester,Minnesota,23.9,"110,742.00",44.0121221,-92.4801989
Elgin,Illinois,16,"110,145.00",42.0354084,-88.2825668
Green Bay,Wisconsin,1.9,"104,779.00",44.519159,-88.019826
Davenport,Iowa,3.9,"102,157.00",41.5236437,-90.5776367
South Bend,Indiana,-6.8,"100,886.00",41.6763545,-86.2519898
Kenosha,Wisconsin,9.5,"99,889.00",42.5847425,-87.8211854
Flint,Michigan,-20,"99,763.00",43.0125274,-83.6874562
Dearborn,Michigan,-2,"95,884.00",42.3222599,-83.1763145
Livonia,Michigan,-5.4,"95,208.00",42.36837,-83.3527097
Lee's Summit,Missouri,31.2,"93,184.00",38.9108408,-94.3821724
Lawrence,Kansas,12.7,"90,811.00",38.9716689,-95.2352501
